PaperProjectID,DOI,Title,NoveltyScore,Confidence,ControversyIndex,Classification,Explanation,AdjudicationNote,Uniqueness,Tension,Synthesis,Coherence
029_1,https://doi.org/10.1016/j.aej.2024.11.052,Shuffle-PG: Lightweight feature extraction model for retrieving images of plant diseases and pests with deep metric learning,0.6297,0.9569,0.4784,Moderately Novel,"This paper is a 6.3/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.78,0.3,0.717,0.93
029_2,https://doi.org/10.4314/ijest.v16i2.3,Affordable cost techniques for growing edible mushrooms,0.4845,0.9274,0.8067,Incremental,"This paper is a 4.8/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.538,0.3,0.7166,0.9316
029_3,https://doi.org/10.3390/jmse13101841,Numerical Investigation of Flow Field Characteristics Around a Monopile Foundation with Collar Protection,0.5365,0.9368,0.7028,Incremental,"This paper is a 5.4/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.7449,0.9451
029_4,https://doi.org/10.1007/s11523-023-01031-y,Planned Discontinuation of Tyrosine Kinase Inhibitor Therapy in Metastatic Renal Cell Carcinoma: Lessons for the Era of Immunotherapy,0.45,0.9431,0.6324,Incremental,"This paper is a 4.5/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.62,0.3,0.6885,0.9381
029_5,https://doi.org/10.24857/rgsa.v18n5-018,Indonesian Government Policy in Increasing State Revenue Through Raw Material Export Prohibitions,0.4714,0.9822,0.1983,Incremental,"This paper is a 4.7/10 for novelty, and we are 98% confident in this assessment. The high confidence (98%) indicates strong consensus across all judge perspectives.",Consensus,0.512,0.3,0.7422,0.9415
029_6,https://doi.org/10.1093/jbmrpl/ziaf058,Osseous morphology differences in the foot and ankle associated with Charcot-Marie-Tooth disease,0.5406,0.9209,0.8789,Incremental,"This paper is a 5.4/10 for novelty, and we are 92% confident in this assessment. The high confidence (92%) indicates strong consensus across all judge perspectives.",Consensus,0.632,0.3,0.7145,0.95
029_7,https://doi.org/10.1128/spectrum.03507-23,Rolling the evolutionary dice: <i>Neisseria</i> commensals as proxies for elucidating the underpinnings of antibiotic resistance mechanisms and evolution in human pathogens,0.5473,0.9104,0.9957,Incremental,"This paper is a 5.5/10 for novelty, and we are 91% confident in this assessment. The high confidence (91%) indicates strong consensus across all judge perspectives.",Consensus,0.648,0.3,0.6852,0.9458
029_8,https://doi.org/10.1186/s12889-025-21627-5,How environmental perception influence depression and anxiety: the mediating role of social interaction,0.4558,0.9054,1,Incremental,"This paper is a 4.6/10 for novelty, and we are 91% confident in this assessment. The high confidence (91%) indicates strong consensus across all judge perspectives.",Socratic Panel,0.506,0.3,0.622,0.9289
029_9,https://doi.org/10.1093/jnci/djae227,Histopathological response to chemotherapy and survival of mucinous type gastric cancer,0.507,0.9616,0.4264,Incremental,"This paper is a 5.1/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.58,0.3,0.6898,0.9191
029_10,https://doi.org/10.56910/ictmt.v1i1.55,How To Improve Financial Performance For Disable People Organizer?,0.4895,0.9666,0.3713,Incremental,"This paper is a 4.9/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.542,0.3,0.7428,0.9431
029_11,https://doi.org/10.1515/med-2024-1124,Research progress on the correlation between islet amyloid peptides and type 2 diabetes mellitus,0.4367,0.9524,0.5293,Incremental,"This paper is a 4.4/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.468,0.3,0.6592,0.9122
029_12,https://doi.org/10.1093/jleuko/qiae204,Blood immune profiles reveal a CXCR3/CCR5 axis of dysregulation in early sepsis,0.5542,0.9664,0.3734,Moderately Novel,"This paper is a 5.5/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.4,0.6215,0.9238
029_13,https://doi.org/10.1016/j.jrmge.2024.12.018,An unsupervised incremental learning model to predict geological conditions for earth pressure balance shield tunneling,0.6169,0.9486,0.5711,Moderately Novel,"This paper is a 6.2/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.764,0.3,0.6846,0.95
029_14,https://doi.org/10.3390/math12192972,A Zassenhaus Lemma for Digroups,0.5113,0.9514,0.5405,Incremental,"This paper is a 5.1/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.588,0.3,0.6853,0.924
029_15,https://doi.org/10.2478/nuka-2025-0013,Observation of <sup>99</sup> Mo radioactivity produced in natural molybdenum irradiated with an electron beam from a linear industrial accelerator,0.5275,0.9552,0.4976,Incremental,"This paper is a 5.3/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.6553,0.9184
