"Upstream data variability: S2 API returned different abstract lengths and citation networks between the frozen run and the rerun, causing all three dimensions (T, S, C) to shift. Pipeline behaviour is correct in both runs. Reviewers are unaffected: the replication package ships frozen abstract text in abstracts_snapshot.csv.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,PaperProjectID_frozen,Title_frozen,NoveltyScore_frozen,Uniqueness_frozen,Tension_frozen,Synthesis_frozen,Coherence_frozen,Classification_frozen,AdjudicationNote_frozen,Confidence_frozen,PaperProjectID_rerun,Title_rerun,NoveltyScore_rerun,Uniqueness_rerun,Tension_rerun,Synthesis_rerun,Coherence_rerun,Classification_rerun,AdjudicationNote_rerun,Confidence_rerun,delta_NoveltyScore,delta_Uniqueness,delta_Tension,delta_Synthesis,delta_Coherence,class_match,veto_frozen,veto_rerun,veto_match
10.1039/d4sm01189a,029_33,Precisely controlled colloids: a playground for path-wise non-equilibrium physics,0.6258,0.728,0.4,0.6904,0.8823,Moderately Novel,Consensus,0.9164,029_32,Precisely controlled colloids: a playground for path-wise non-equilibrium physics,0.5763,0.642,0.4,0.711,0.8823,Moderately Novel,Consensus,0.9273,0.04949999999999999,0.08599999999999997,0.0,0.02059999999999995,0.0,True,False,False,True
10.1103/physrevd.110.095012,029_55,Double and triple Higgs boson production to probe the electroweak phase transition,0.5344,0.626,0.3,0.6882,0.9179,Incremental,Consensus,0.9582,029_54,Double and triple Higgs boson production to probe the electroweak phase transition,0.551,0.65,0.3,0.7097,0.9179,Moderately Novel,Socratic Panel,0.8302,0.01660000000000006,0.02400000000000002,0.0,0.021499999999999964,0.0,False,False,False,True
10.2478/amns.2023.2.01544,029_57,Research on Digital Construction and Design of Minority Clothing Based on Multivariate Statistical Analysis,0.5539,0.604,0.4,0.7146,0.9423,Moderately Novel,Consensus,0.9786,029_56,Research on Digital Construction and Design of Minority Clothing Based on Multivariate Statistical Analysis,0.5407,0.58,0.4,0.7267,0.9423,Incremental,Consensus,0.9597,0.01319999999999999,0.02400000000000002,0.0,0.0121,0.0,False,False,False,True
10.1111/beer.70062,029_68,Overall Organizational Justice Trajectories Among Newcomers: How Do Justice Perceptions Develop and Why Does It Matter?,0.5503,0.643,0.3,0.7453,0.9322,Moderately Novel,Socratic Panel,0.892,029_67,Overall Organizational Justice Trajectories Among Newcomers: How Do Justice Perceptions Develop and Why Does It Matter?,0.5439,0.632,0.3,0.7469,0.9322,Incremental,Socratic Panel,0.8695,0.006399999999999961,0.01100000000000001,0.0,0.0016000000000000458,0.0,False,False,False,True
10.3390/molecules28248094,029_70,Efficient Degradation of Ciprofloxacin in Water over Copper-Loaded Biochar Using an Enhanced Non-Radical Pathway,0.5573,0.664,0.3,0.6886,0.9165,Moderately Novel,Socratic Panel,0.8465,029_69,Efficient Degradation of Ciprofloxacin in Water over Copper-Loaded Biochar Using an Enhanced Non-Radical Pathway,0.5318,0.618,0.3,0.7099,0.9165,Incremental,Consensus,0.9367,0.025499999999999967,0.04600000000000004,0.0,0.021299999999999986,0.0,False,False,False,True
10.1093/jncics/pkae037,029_130,Phase I trial of single-photon emission computed tomography–guided liver-directed radiotherapy for patients with low functional liver volume,0.204,0.236,0.0,0.6243,0.7,Incremental,Consensus,0.9215,029_129,Phase I trial of single-photon emission computed tomography–guided liver-directed radiotherapy for patients with low functional liver volume,0.5242,0.606,0.3,0.7063,0.95,Incremental,Consensus,0.9802,0.32020000000000004,0.37,0.3,0.08200000000000007,0.25,True,False,False,True
10.3389/fimmu.2025.1636977,029_141,Unveiling ammonia-induced cell death: a new frontier in clear cell renal cell carcinoma prognosis,0.5514,0.654,0.3,0.6903,0.8926,Moderately Novel,Socratic Panel,0.8558,029_140,Unveiling ammonia-induced cell death: a new frontier in clear cell renal cell carcinoma prognosis,0.5367,0.626,0.3,0.711,0.8926,Incremental,Consensus,0.9629,0.014700000000000046,0.028000000000000025,0.0,0.02069999999999994,0.0,False,False,False,True
10.3390/axioms13030183,029_164,Chen–Ricci Inequality for Isotropic Submanifolds in Locally Metallic Product Space Forms,0.543,0.602,0.4,0.6184,0.9361,Incremental,Consensus,0.9597,029_163,Chen–Ricci Inequality for Isotropic Submanifolds in Locally Metallic Product Space Forms,0.5502,0.606,0.4,0.6664,0.9361,Moderately Novel,Consensus,0.9585,0.007199999999999984,0.0040000000000000036,0.0,0.04800000000000004,0.0,False,False,False,True
10.1016/j.jaging.2024.101279,029_209,Having to ‘go beyond’: Staff perspectives on activity programs for older people living in nursing homes,0.5603,0.556,0.55,0.6166,0.9481,Moderately Novel,Consensus,0.9679,029_208,Having to ‘go beyond’: Staff perspectives on activity programs for older people living in nursing homes,0.5447,0.522,0.55,0.6653,0.9481,Incremental,Consensus,0.9372,0.015600000000000058,0.03400000000000003,0.0,0.048699999999999966,0.0,False,False,False,True
10.1186/s12955-024-02260-z,029_215,Initial evaluation of measurement properties of the Work Environment Impact Questionnaire (WEIQ) - using Rasch analysis,0.4638,0.503,0.3,0.7195,0.9136,Incremental,Socratic Panel,0.9002,029_214,Initial evaluation of measurement properties of the Work Environment Impact Questionnaire (WEIQ) - using Rasch analysis,0.4983,0.556,0.3,0.7468,0.929,Incremental,Consensus,0.9544,0.03450000000000003,0.05300000000000005,0.0,0.02729999999999999,0.01540000000000008,True,False,False,True
10.3389/fcell.2025.1590460,029_235,Metabolic alterations within the primary visual cortex in blind patients with end-stage glaucoma: a proton magnetic resonance spectroscopy study,0.5399,0.64,0.3,0.6591,0.855,Incremental,Consensus,0.9177,029_234,Metabolic alterations within the primary visual cortex in blind patients with end-stage glaucoma: a proton magnetic resonance spectroscopy study,0.5587,0.666,0.3,0.6913,0.855,Moderately Novel,Socratic Panel,0.8182,0.018799999999999928,0.026000000000000023,0.0,0.032200000000000006,0.0,False,False,False,True
10.1186/s13229-025-00657-1,029_249,Flexible nonlinear modeling reveals age-related differences in resting-state functional brain connectivity in autistic males from childhood to mid-adulthood,0.5799,0.707,0.3,0.6575,0.896,Moderately Novel,Socratic Panel,0.8418,029_248,Flexible nonlinear modeling reveals age-related differences in resting-state functional brain connectivity in autistic males from childhood to mid-adulthood,0.5412,0.637,0.3,0.6903,0.896,Incremental,Socratic Panel,0.8353,0.03869999999999996,0.06999999999999995,0.0,0.03280000000000005,0.0,False,False,False,True
10.25122/jml-2024-0417,029_252,"Efficacy of dietary and lifestyle interventions in obesity management: a therapeutic protocol at the Diabetes Department, Marius Nasta Institute of Pneumophthisiology, Bucharest, Romania",0.45,0.56,0.4,0.7192,0.9052,Incremental,VETO: Review Cap (Consensus),0.9514,029_251,"Efficacy of dietary and lifestyle interventions in obesity management: a therapeutic protocol at the Diabetes Department, Marius Nasta Institute of Pneumophthisiology, Bucharest, Romania",0.45,0.502,0.4,0.7297,0.9052,Incremental,VETO: Review Cap (Consensus),0.9551,0.0,0.05800000000000005,0.0,0.010500000000000065,0.0,True,True,True,True
10.1038/s44183-025-00140-7,029_255,Scenario planning from the bottom up: supporting inclusive and ecosystem-based approaches to marine spatial planning,0.556,0.612,0.4,0.6876,0.9264,Moderately Novel,Consensus,0.9791,029_254,Scenario planning from the bottom up: supporting inclusive and ecosystem-based approaches to marine spatial planning,0.5461,0.592,0.4,0.7093,0.9264,Incremental,Consensus,0.933,0.00990000000000002,0.020000000000000018,0.0,0.021700000000000053,0.0,False,False,False,True
10.1186/s40594-023-00459-y,029_291,Nine years of development in establishing the journal as a learning and research hub in STEM education,0.3382,0.31,0.3,0.6222,0.9137,Incremental,Consensus,0.8456,029_290,Nine years of development in establishing the journal as a learning and research hub in STEM education,0.3741,0.362,0.3,0.6687,0.9137,Incremental,Consensus,0.8715,0.03589999999999999,0.05199999999999999,0.0,0.046499999999999986,0.0,True,False,False,True
10.1093/jopart/muaf016,029_292,Routines amid the unpredictable: a street-level organization’s robust response to COVID-19,0.5641,0.666,0.3,0.7447,0.9349,Moderately Novel,Consensus,0.9279,029_291,Routines amid the unpredictable: a street-level organization’s robust response to COVID-19,0.5377,0.622,0.3,0.7447,0.9349,Incremental,Consensus,0.9252,0.02640000000000009,0.04400000000000004,0.0,0.0,0.0,False,False,False,True
10.1111/pbi.14271,029_326,"<i>OsGELP77</i>, a <scp>QTL</scp> for broad‐spectrum disease resistance and yield in rice, encodes a <scp>GDSL</scp>‐type lipase",0.5357,0.64,0.3,0.6171,0.9439,Incremental,Consensus,0.9147,029_325,"<i>OsGELP77</i>, a <scp>QTL</scp> for broad‐spectrum disease resistance and yield in rice, encodes a <scp>GDSL</scp>‐type lipase",0.5526,0.66,0.3,0.6657,0.9439,Moderately Novel,Consensus,0.9376,0.016900000000000026,0.020000000000000018,0.0,0.04859999999999998,0.0,False,False,False,True
10.2166/wh.2025.056,029_349,Comparing cultural perceptions of drinking water safety with water quality in urban and rural Guatemalan communities,0.5333,0.62,0.3,0.7134,0.9445,Incremental,Consensus,0.9752,029_348,Comparing cultural perceptions of drinking water safety with water quality in urban and rural Guatemalan communities,0.567,0.674,0.3,0.7259,0.9445,Moderately Novel,Socratic Panel,0.8294,0.03369999999999995,0.05400000000000005,0.0,0.012499999999999956,0.0,False,False,False,True
10.3390/ani14040526,029_363,High Exposure to Livestock Pathogens in Southern Pudu (Pudu puda) from Chile,0.5461,0.651,0.3,0.6549,0.95,Incremental,Socratic Panel,0.8537,029_362,High Exposure to Livestock Pathogens in Southern Pudu (Pudu puda) from Chile,0.5699,0.685,0.3,0.6887,0.95,Moderately Novel,Socratic Panel,0.8966,0.023799999999999932,0.03400000000000003,0.0,0.03379999999999994,0.0,False,False,False,True
10.3390/ai5020033,029_371,Remote Sensing Crop Water Stress Determination Using CNN-ViT Architecture,0.5424,0.63,0.3,0.7441,0.9395,Incremental,Consensus,0.9467,029_370,Remote Sensing Crop Water Stress Determination Using CNN-ViT Architecture,0.5612,0.661,0.3,0.7461,0.9395,Moderately Novel,Socratic Panel,0.8402,0.01880000000000004,0.031000000000000028,0.0,0.0020000000000000018,0.0,False,False,False,True
10.1088/2752-5295/ad9b44,029_372,Distinguishing short-term and long-term climate impacts in damage functions,0.5304,0.62,0.3,0.6836,0.9459,Incremental,Consensus,0.9405,029_371,Distinguishing short-term and long-term climate impacts in damage functions,0.5543,0.656,0.3,0.7067,0.9459,Moderately Novel,Socratic Panel,0.8607,0.023900000000000032,0.03600000000000003,0.0,0.02310000000000001,0.0,False,False,False,True
10.1007/s42405-025-00888-9,029_417,Improved Conceptual Design of eVTOL Aircraft: Considering Rotor–Rotor Interactional Effects,0.5611,0.661,0.3,0.7446,0.9413,Moderately Novel,Socratic Panel,0.84,029_416,Improved Conceptual Design of eVTOL Aircraft: Considering Rotor–Rotor Interactional Effects,0.5378,0.622,0.3,0.7464,0.9413,Incremental,Consensus,0.9257,0.0233000000000001,0.039000000000000035,0.0,0.0017999999999999128,0.0,False,False,False,True
10.3390/foods13091306,029_423,The Generation of Suspended Cell Wall Material May Limit the Effect of Ultrasound Technology in Some Varietal Wines,0.5444,0.643,0.3,0.686,0.9363,Incremental,Socratic Panel,0.8597,029_422,The Generation of Suspended Cell Wall Material May Limit the Effect of Ultrasound Technology in Some Varietal Wines,0.5514,0.651,0.3,0.7082,0.9363,Moderately Novel,Socratic Panel,0.8659,0.007000000000000006,0.008000000000000007,0.0,0.022199999999999998,0.0,False,False,False,True
10.16910/jemr.17.3.4,029_446,Classification framework to identify similar visual scan paths using multiple similarity metrics,0.5538,0.604,0.4,0.7139,0.941,Moderately Novel,Consensus,0.9534,029_445,Classification framework to identify similar visual scan paths using multiple similarity metrics,0.5454,0.588,0.4,0.7262,0.941,Incremental,Consensus,0.9607,0.008399999999999963,0.016000000000000014,0.0,0.012299999999999978,0.0,False,False,False,True
10.21037/qims-24-170,029_454,Construction and validation of a risk score system for diagnosing invasive adenocarcinoma presenting as pulmonary pure ground-glass nodules: a multi-center cohort study in China,0.5278,0.62,0.3,0.658,0.9163,Incremental,Consensus,0.9578,029_453,Construction and validation of a risk score system for diagnosing invasive adenocarcinoma presenting as pulmonary pure ground-glass nodules: a multi-center cohort study in China,0.5527,0.656,0.3,0.6906,0.9163,Moderately Novel,Socratic Panel,0.8418,0.024899999999999922,0.03600000000000003,0.0,0.03259999999999996,0.0,False,False,False,True
